#,Monnaie,Cours,1 h,24 h,7 j,30 j,Volume sur 24 h,Offre en circulation,Offre totale,Capitalisation du marché
1,"Bitcoin
BTC","$26 152,25",0.1%,0.6%,1.5%,-2.6%,$10 696 121 689,19 401 050,21 million,$507 514 041 019
2,"Ethereum
ETH","$1 749,75",0.1%,-0.2%,-3.7%,-3.0%,$6 082 510 097,120 226 967,120 million,$210 412 221 311
3,"Tether
USDT","$1,00",-0.0%,0.0%,-0.0%,-0.0%,$18 157 604 593,83 366 513 300,"83,4 milliard",$83 372 987 553
4,"BNB
BNB","$236,41",-0.2%,-0.5%,-15.2%,-24.3%,$1 089 610 593,155 855 196,158 million,$36 857 959 326
5,"USD Coin
USDC","$1,00",0.1%,0.1%,0.1%,0.1%,$3 141 787 377,28 290 016 363,"28,3 milliard",$28 306 592 032
6,"XRP
XRP","$0,531270",0.3%,1.6%,3.8%,24.3%,$1 385 332 149,51 987 017 573,100 milliard,$27 607 416 413
7,"Lido Staked Ether
STETH","$1 748,42",0.1%,-0.2%,-3.7%,-3.0%,$18 796 045,7 190 740,"7,19 million",$12 573 560 700
8,"Cardano
ADA","$0,281183",-0.1%,-1.6%,-20.7%,-23.5%,$326 533 598,35 045 020 830,45 milliard,$9 857 710 141
9,"Dogecoin
DOGE","$0,061868999900",-0.0%,0.2%,-7.2%,-14.2%,$222 434 483,139 748 976 384,140 milliard,$8 649 833 245
10,"TRON
TRX","$0,071820920177",0.0%,2.0%,-9.2%,3.4%,$281 354 285,90 096 737 528,"90,1 milliard",$6 473 822 086
11,"Solana
SOL","$15,46",0.4%,-0.6%,-23.0%,-26.7%,$373 818 939,398 977 679,550 million,$6 171 748 161
12,"Polygon
MATIC","$0,647205",0.2%,-0.2%,-21.9%,-24.4%,$345 545 099,9 289 469 069,10 milliard,$6 010 981 992
13,"Polkadot
DOT","$4,63",0.1%,2.1%,-8.8%,-13.7%,$111 731 962,1 242 350 348,"1,32 milliard",$5 758 607 055
14,"Litecoin
LTC","$78,45",-0.2%,0.9%,-10.7%,-3.1%,$390 810 448,73 134 946,84 million,$5 738 646 684
15,"Binance USD
BUSD","$1,00",0.0%,0.1%,0.1%,-0.0%,$1 935 686 082,4 621 559 411,"4,62 milliard",$4 624 118 193
16,"Dai
DAI","$0,999858",0.1%,0.0%,0.1%,-0.1%,$125 563 909,4 511 170 467,"4,51 milliard",$4 510 528 736
17,"Wrapped Bitcoin
WBTC","$26 141,44",0.2%,0.4%,1.4%,-2.8%,$127 000 658,156 748,157 millier,$4 097 917 418
18,"Avalanche
AVAX","$11,78",0.1%,2.1%,-16.4%,-21.5%,$133 234 911,344 911 485,432 million,$4 064 812 113
19,"Shiba Inu
SHIB","$0,000006773579",0.5%,1.8%,-15.8%,-23.5%,$92 867 392,589 340 167 076 608,1 million de milliards,$3 992 123 117
20,"LEO Token
LEO","$3,52",0.6%,0.5%,0.0%,-1.8%,$526 660,930 121 547,985 million,$3 279 721 540
21,"Uniswap
UNI","$4,34",0.4%,4.2%,-8.8%,-15.7%,$61 583 653,753 766 667,1 milliard,$3 270 032 803
22,"Chainlink
LINK","$5,24",0.2%,1.2%,-14.5%,-19.8%,$119 140 712,517 099 971,1 milliard,$2 709 762 390
23,"Cosmos Hub
ATOM","$8,73",0.1%,0.6%,-12.5%,-20.4%,$88 367 965,292 586 164,∞,$2 557 188 083
24,"Monero
XMR","$139,63",0.0%,0.3%,-1.9%,-8.8%,$101 664 698,18 147 820,∞,$2 535 311 683
25,"OKB
OKB","$40,13",0.2%,1.6%,-10.4%,-10.6%,$5 953 709,60 000 000,236 million,$2 407 844 019
26,"Toncoin
TON","$1,52",0.2%,1.1%,-8.8%,-19.7%,$3 685 509,1 473 591 411,"5,06 milliard",$2 244 021 982
27,"Stellar
XLM","$0,083118185316",0.0%,-0.3%,-5.3%,-6.4%,$42 650 633,26 888 617 149,50 milliard,$2 235 459 477
28,"Ethereum Classic
ETC","$15,28",0.0%,1.0%,-11.0%,-16.0%,$76 387 886,141 445 634,211 million,$2 162 502 535
29,"Bitcoin Cash
BCH","$104,98",0.1%,1.7%,-4.0%,-7.9%,$50 690 084,19 418 300,21 million,$2 039 782 951
30,"TrueUSD
TUSD","$0,998808",0.1%,-0.0%,-0.1%,-0.1%,$1 596 839 708,2 041 446 767,"2,04 milliard",$2 039 179 650
31,"Internet Computer
ICP","$3,77",-0.7%,2.9%,-13.0%,-26.8%,$19 811 821,436 525 765,499 million,$1 647 622 401
32,"Lido DAO
LDO","$1,81",-0.2%,-2.5%,-19.0%,-6.1%,$36 714 593,879 591 496,1 milliard,$1 589 154 381
33,"Filecoin
FIL","$3,63",-0.2%,5.3%,-14.3%,-17.8%,$133 842 133,429 115 949,"1,96 milliard",$1 560 688 652
34,"Quant
QNT","$101,90",-0.5%,0.9%,-8.3%,-4.5%,$23 552 149,14 544 176,"14,6 million",$1 482 567 062
35,"Hedera
HBAR","$0,046346590088",0.1%,3.7%,-5.8%,-11.2%,$22 970 697,31 627 399 939,50 milliard,$1 465 714 273
36,"Cronos
CRO","$0,053536947650",-0.0%,-2.5%,-8.3%,-15.0%,$5 470 775,26 106 589 245,30 milliard,$1 398 111 359
37,"Aptos
APT","$6,35",-0.1%,-0.4%,-21.2%,-24.1%,$75 597 957,205 713 249,"1,04 milliard",$1 306 837 449
38,"Arbitrum
ARB","$1,01",-0.2%,1.8%,-11.6%,-14.2%,$199 782 599,1 275 000 000,10 milliard,$1 284 924 347
39,"VeChain
VET","$0,016254051874",0.1%,1.9%,-12.4%,-15.7%,$38 957 226,72 714 516 834,86 milliard,$1 182 919 933
40,"NEAR Protocol
NEAR","$1,22",-0.2%,0.3%,-19.2%,-27.1%,$55 569 611,916 000 354,1 milliard,$1 112 969 137
41,"Pax Dollar
USDP","$1,00",0.1%,0.2%,0.1%,0.1%,$4 967 129,1 006 573 588,"1,01 milliard",$1 007 079 548
42,"Frax
FRAX","$0,999483",0.1%,-0.0%,0.2%,-0.2%,$11 861 648,1 004 141 409,1 milliard,$1 003 708 905
43,"The Graph
GRT","$0,099953217404",0.1%,-0.4%,-14.5%,-14.7%,$34 751 191,9 009 591 852,10 milliard,$901 205 899
44,"ApeCoin
APE","$2,27",0.5%,-1.8%,-26.2%,-30.9%,$106 087 941,368 593 750,1 milliard,$837 585 648
45,"Algorand
ALGO","$0,115257",-0.2%,2.8%,-16.3%,-30.1%,$41 261 692,7 249 366 185,"7,63 milliard",$835 991 047
46,"Rocket Pool ETH
RETH","$1 878,93",0.0%,-0.2%,-3.6%,-2.8%,$2 875 562,441 172,441 millier,$828 998 288
47,"Rocket Pool
RPL","$41,39",0.1%,1.2%,-12.3%,-17.1%,$5 153 664,19 474 470,"19,5 million",$805 833 354
48,"MultiversX
EGLD","$31,01",-0.0%,2.9%,-15.3%,-19.7%,$14 335 994,25 551 072,"25,6 million",$793 824 530
49,"Aave
AAVE","$54,65",0.2%,3.0%,-9.4%,-12.6%,$43 242 616,14 426 048,16 million,$788 055 993
50,"EOS
EOS","$0,684229",-0.0%,0.2%,-19.3%,-21.9%,$98 250 377,1 108 998 347,∞,$759 384 413
51,"Stacks
STX","$0,548593",-0.2%,4.2%,-0.5%,-13.0%,$32 992 067,1 384 048 265,"1,82 milliard",$758 428 703
52,"Optimism
OP","$1,15",0.0%,1.0%,-18.6%,-30.1%,$104 035 091,644 594 782,"4,29 milliard",$742 424 108
53,"Fantom
FTM","$0,262961",0.6%,6.9%,-10.4%,-29.1%,$131 849 889,2 793 649 313,"3,18 milliard",$735 082 328
54,"USDD
USDD","$0,998252",-0.0%,-0.1%,-0.1%,-0.1%,$13 644 165,733 660 399,∞,$732 476 718
55,"The Sandbox
SAND","$0,394178",-0.1%,0.9%,-24.0%,-21.7%,$84 012 423,1 853 581 926,3 milliard,$730 983 310
56,"Render
RNDR","$1,98",-0.2%,1.0%,-17.4%,8.0%,$58 968 328,366 386 312,531 million,$724 750 206
57,"Tezos
XTZ","$0,732399",-0.4%,2.1%,-14.2%,-17.4%,$15 663 747,933 311 128,∞,$683 836 313
58,"WhiteBIT Token
WBT","$4,69",0.0%,0.6%,-1.6%,1.2%,$4 515 886,144 118 517,372 million,$675 779 408
59,"Bitget Token
BGB","$0,473120",-0.1%,-1.0%,-0.1%,0.5%,$16 734 475,1 400 001 000,2 milliard,$662 793 981
60,"Theta Network
THETA","$0,657502",-0.3%,1.0%,-16.2%,-27.4%,$8 723 503,1 000 000 000,1 milliard,$658 083 844
61,"Decentraland
MANA","$0,348746",0.1%,1.0%,-23.8%,-23.7%,$45 316 568,1 824 339 991,"2,19 milliard",$636 522 626
62,"ImmutableX
IMX","$0,631588",-0.4%,3.2%,-13.9%,-16.5%,$16 554 278,998 882 827,2 milliard,$631 424 405
63,"BitDAO
BIT","$0,429674",-0.0%,1.5%,-11.4%,-11.4%,$2 801 121,1 453 909 315,"9,61 milliard",$624 760 320
64,"Radix
XRD","$0,061103666719",-0.2%,-0.2%,-7.2%,-15.3%,$2 245 103,10 190 256 525,"12,6 milliard",$622 838 090
65,"KuCoin
KCS","$6,13",0.0%,2.9%,-13.8%,-20.0%,$1 443 524,96 833 502,144 million,$593 411 115
