Symbol,Company Name,Market Cap,Stock Price,% Change,Change 1W,Change 1M,Change 6M,Change YTD,Change 1Y,Change 3Y,Change 5Y
AAPL,Apple Inc.,"2,890.78B",183.79,1.56%,2.34%,6.50%,27.20%,41.45%,39.36%,116.99%,282.34%
MSFT,Microsoft Corporation,"2,467.47B",331.85,1.55%,-1.22%,7.41%,31.42%,38.38%,36.98%,76.76%,227.56%
GOOG,Alphabet Inc.,"1,642.17B",124.35,1.20%,-1.80%,5.45%,32.91%,40.14%,16.35%,75.99%,118.29%
AMZN,"Amazon.com, Inc.","1,298.66B",126.62,2.56%,1.01%,14.79%,39.78%,50.68%,22.09%,-0.54%,49.02%
NVDA,NVIDIA Corporation,975.21B,394.82,1.84%,0.79%,39.32%,125.16%,170.17%,152.33%,342.00%,501.45%
GOOGL,Alphabet Inc.,843.60B,123.64,1.15%,-1.88%,5.22%,32.51%,40.13%,16.21%,75.01%,115.36%
TSLA,"Tesla, Inc.",791.84B,249.83,2.22%,14.81%,48.73%,48.87%,102.82%,15.80%,300.68%,993.30%
BRK.B,Berkshire Hathaway Inc.,730.07B,333.60,-0.50%,1.53%,3.45%,7.11%,8.00%,18.48%,84.10%,70.84%
BRK.A,Berkshire Hathaway Inc.,729.50B,"509,004.00",-0.36%,1.40%,3.00%,7.39%,7.94%,19.40%,86.33%,72.66%
META,"Meta Platforms, Inc.",711.80B,271.05,2.30%,-0.13%,15.93%,136.29%,125.24%,65.01%,18.58%,40.88%
TSM,Taiwan Semiconductor Manufacturing Company Limited,555.26B,107.06,4.14%,9.19%,28.32%,33.11%,43.72%,25.14%,91.18%,173.11%
V,Visa Inc.,484.67B,226.17,1.17%,-0.26%,-2.25%,5.40%,8.86%,17.64%,17.64%,67.71%
UNH,UnitedHealth Group Incorporated,458.62B,492.59,-0.21%,-1.12%,0.28%,-9.76%,-7.09%,4.87%,72.75%,94.25%
XOM,Exxon Mobil Corporation,430.25B,106.42,-0.90%,1.07%,0.61%,0.31%,-3.52%,11.03%,125.61%,29.12%
LLY,Eli Lilly and Company,422.72B,445.31,-0.16%,0.24%,2.50%,21.26%,21.72%,52.88%,210.23%,420.89%
JNJ,Johnson & Johnson,415.54B,159.90,-0.07%,1.00%,-0.55%,-10.09%,-9.48%,-6.39%,12.49%,30.49%
WMT,Walmart Inc.,414.97B,154.10,0.66%,2.87%,0.67%,4.11%,8.68%,29.05%,30.88%,83.23%
JPM,JPMorgan Chase & Co.,412.04B,141.00,-0.01%,1.37%,5.15%,5.06%,5.15%,21.56%,41.18%,27.96%
NVO,Novo Nordisk A/S,356.04B,158.75,0.44%,0.57%,-7.31%,22.29%,17.30%,47.57%,145.71%,258.43%
AVGO,Broadcom Inc.,352.99B,855.36,6.31%,6.61%,35.52%,53.67%,52.98%,65.25%,184.88%,227.19%
