No.,Symbol,Company Name,% Change,Stock Price,Volume,Market Cap
1,ASST,Asset Entities Inc.,75.65%,2.02,"89,821,338",27.60M
2,KDNY,"Chinook Therapeutics, Inc.",58.32%,37.98,"21,624,199",2.54B
3,ZJYL,Jin Medical International Ltd.,54.75%,13.20,"5,593,511",105.60M
4,IFBD,"Infobird Co., Ltd",38.14%,2.01,"27,662,907",9.22M
5,CRGO,Freightos Limited,30.97%,2.96,"380,635",107.24M
6,VATE,INNOVATE Corp.,27.10%,1.97,"1,108,931",155.73M
7,ALLG,Allego N.V.,26.01%,2.81,"515,454",747.02M
8,KLR,"Kaleyra, Inc.",23.96%,3.57,"216,779",47.12M
9,BTDR,Bitdeer Technologies Group,23.56%,6.24,"223,578",79.01M
10,SDA,SunCar Technology Group Inc.,23.14%,16.87,"1,108,095",1.41B
11,OMH,Ohmyhome Limited,22.77%,5.50,"1,551,395",104.78M
12,LEJU,Leju Holdings Limited,21.47%,2.15,"3,417,056",31.22M
13,FCUV,Focus Universal Inc.,21.43%,1.87,"117,867",121.22M
14,CYTH,"Cyclo Therapeutics, Inc.",21.25%,1.94,"829,922",29.43M
15,DPRO,Draganfly Inc.,20.79%,1.22,"573,481",52.64M
16,MRKR,"Marker Therapeutics, Inc.",19.52%,3.00,"1,197,645",26.40M
17,GRCL,Gracell Biotechnologies Inc.,18.50%,4.74,"877,991",320.97M
18,ONCY,Oncolytics Biotech Inc.,18.06%,1.83,"1,453,944",117.29M
19,ARVN,"Arvinas, Inc.",17.47%,28.78,"1,228,673",1.54B
20,AMLI,American Lithium Corp.,16.23%,2.22,"1,951,989",409.76M
