Symbol,Company Name,Market Cap,Stock Price,% Change,Change 1W,Change 1M,Change 6M,Change YTD,Change 1Y,Change 3Y,Change 5Y
AAPL,Apple Inc.,"2,702.82B",171.84,0.16%,-0.49%,3.94%,16.02%,32.26%,22.43%,117.02%,265.32%
MSFT,Microsoft Corporation,"2,333.63B",313.85,-0.45%,-0.05%,11.39%,26.81%,30.87%,20.89%,72.85%,219.25%
GOOGL,Alphabet Inc.,"1,539.72B",120.90,-1.35%,0.05%,14.09%,24.05%,37.03%,14.09%,70.12%,122.76%
GOOG,Alphabet Inc.,"1,539.06B",121.64,-1.34%,0.13%,13.92%,24.63%,37.09%,14.84%,71.68%,125.42%
AMZN,"Amazon.com, Inc.","1,197.90B",116.78,1.52%,1.08%,9.92%,24.99%,38.99%,12.15%,-3.59%,45.66%
NVDA,NVIDIA Corporation,755.24B,305.38,-0.49%,1.19%,12.93%,87.70%,108.96%,89.04%,250.30%,393.16%
BRK.B,Berkshire Hathaway Inc.,700.60B,320.20,-0.90%,-2.20%,-1.79%,0.87%,3.66%,3.57%,77.55%,64.35%
BRK.A,Berkshire Hathaway Inc.,699.15B,"486,545.00",-1.10%,-2.81%,-2.35%,1.64%,3.81%,4.95%,79.98%,66.71%
META,"Meta Platforms, Inc.",638.66B,249.21,1.00%,2.77%,17.12%,123.69%,107.09%,37.47%,7.33%,34.03%
TSLA,"Tesla, Inc.",579.70B,182.90,-1.54%,5.20%,12.52%,0.02%,48.48%,-12.65%,235.04%,887.42%
TSM,Taiwan Semiconductor Manufacturing Company Limited,467.45B,90.13,-0.34%,-0.83%,6.49%,10.73%,21.00%,1.59%,77.35%,129.51%
V,Visa Inc.,465.48B,222.25,-1.04%,-4.47%,-4.52%,3.96%,6.97%,9.68%,15.02%,68.51%
UNH,UnitedHealth Group Incorporated,447.67B,480.83,0.29%,-0.82%,-1.66%,-10.56%,-9.31%,-3.36%,63.05%,98.09%
XOM,Exxon Mobil Corporation,434.98B,107.59,1.12%,2.64%,-8.98%,-4.96%,-2.46%,13.97%,134.35%,34.04%
JNJ,Johnson & Johnson,407.12B,156.66,-0.10%,-1.47%,-4.29%,-11.61%,-11.32%,-13.64%,8.37%,28.15%
LLY,Eli Lilly and Company,404.17B,425.77,0.60%,-2.67%,11.07%,16.57%,16.38%,39.16%,187.76%,414.78%
WMT,Walmart Inc.,398.21B,147.63,-0.46%,-1.27%,-3.36%,-3.55%,4.12%,18.93%,19.19%,78.19%
JPM,JPMorgan Chase & Co.,395.50B,135.34,-0.92%,-2.25%,-3.83%,-1.02%,0.92%,7.11%,41.24%,21.68%
NVO,Novo Nordisk A/S,363.00B,161.78,-1.04%,-3.18%,-5.10%,36.19%,19.54%,49.82%,155.17%,236.34%
MA,Mastercard Incorporated,346.46B,368.50,-1.40%,-4.78%,-1.66%,4.90%,5.97%,8.16%,21.49%,92.02%
